,Codigo_Postal,Distancia_minima_trayectoria,Fecha_Hora,Horario,Latitud,Localidad,Longitud,Margen,Municipio,Precio_biodiesel,Precio_bioetanol,Precio_gas_natural,Precio_gasoleoA,Precio_gasoleoB,Precio_gasolina95,Precio_gasolina98,Provincia,Tipo_de_venta
66,32130,43.23231949737192,1598870294000,L-S: 07:00-23:00,42.467583,CEA,-7.98825,I,San Cristovo de Cea,,,,1.099,0.789,1.209,,OURENSE,P
67,32690,19.439663077798027,1598870294000,L-V: 07:00-22:00,42.258139,TABOADELA,-7.831972,D,Taboadela,,,,1.115,,1.204,,OURENSE,P
68,32690,19.52471662636818,1598870294000,L-V: 07:00-22:00,42.258944,TABOADELA,-7.832667,I,Taboadela,,,,1.115,,1.204,,OURENSE,P
69,32690,18.504250126603733,1598870294000,L-D: 24H,42.242886,TABOADELA,-7.826799,N,Taboadela,,,,1.139,,,,OURENSE,P
70,32695,19.691044927368388,1598870294000,L-D: 06:00-23:00,42.019583,TRASMIRAS,-7.608472,I,Trasmiras,,,,1.119,0.84,1.199,,OURENSE,P
71,32695,19.721671666993334,1598870294000,L: 06:00-00:00,42.019306,TRASMIRAS,-7.608611,N,Trasmiras,,,,1.139,,1.219,,OURENSE,P
72,32813,29.07632695941403,1598870294000,L-D: 07:00-23:00,42.127306,VEREA,-7.950611,D,Verea,,,,1.079,,1.199,,OURENSE,P
73,32600,31.698453293357836,1598870294000,L-D: 06:00-22:00,41.939472,VERIN,-7.445944,I,Verín,,,,1.119,,1.229,,OURENSE,P
74,32600,32.2722337799797,1598870294000,L-D: 07:00-22:00,41.945472,VERIN,-7.415861,D,Verín,,,,1.119,0.816,1.229,,OURENSE,P
75,32699,44.06483237584176,1598870294000,L-D: 24H,41.825222,FECES DE ABAIXO,-7.425222,I,Verín,,,,1.089,,1.229,,OURENSE,P
76,32550,42.14196001748138,1598870294000,L-V: 07:30-22:30; S: 08:00-22:30; D: 09:00-21:00,42.188778,VIANA DO BOLO,-7.101333,I,Viana do Bolo,,,,1.109,0.849,1.229,,OURENSE,P
77,32340,50.20795552676947,1598870294000,L-D: 06:30-10:30,42.408222,VILAMARTIN DE VALDEORRAS,-7.073194,D,Vilamartín de Valdeorras,,,,1.109,,1.229,,OURENSE,P
78,32630,15.724511157085516,1598870294000,L-D: 24H,42.077917,XINZO DE LIMIA,-7.714583,D,Xinzo de Limia,,,,1.119,0.849,1.209,,OURENSE,P
79,32630,17.51054871925821,1598870294000,L-D: 07:00-23:00,42.059278,XINZO DE LIMIA,-7.714833,I,Xinzo de Limia,,,,1.119,0.849,1.199,,OURENSE,P
80,32630,16.52143527610203,1598870294000,L-D: 07:00-23:00,42.075556,XINZO DE LIMIA,-7.727083,I,Xinzo de Limia,,,,1.119,0.839,1.199,,OURENSE,P
81,32630,17.01916323992111,1598870294000,L-D: 07:00-23:00,42.072667,XINZO DE LIMIA,-7.732,I,Xinzo de Limia,,,,1.119,0.849,1.199,,OURENSE,P
