,Codigo_Postal,Distancia_minima_trayectoria,Fecha_Hora,Horario,Latitud,Localidad,Longitud,Margen,Municipio,Precio_biodiesel,Precio_bioetanol,Precio_gas_natural,Precio_gasoleoA,Precio_gasoleoB,Precio_gasolina95,Precio_gasolina98,Provincia,Tipo_de_venta
11,27373,109.14612962255089,1598870294000,L: 07:00-23:00,43.172722,BEGONTE,-7.766167,D,Begonte,,,,1.119,0.829,1.219,,LUGO,P
12,27880,162.94261676234893,1598870294000,L-D: 07:00-23:00,43.651333,BURELA,-7.353889,N,Burela,,,,1.089,,1.189,,LUGO,P
13,27880,162.30759574725076,1598870294000,L-D: 24H,43.645056,BURELA,-7.348611,D,Burela,,,,0.999,,1.099,,LUGO,P
14,27520,41.69123678848429,1598870294000,L-D: 07:00-22:00,42.541278,BARRELA (A),-7.8125,I,Carballedo,,,,1.089,0.768,1.209,,LUGO,P
15,27260,104.9834179556252,1598870294000,L-S: 07:00-23:00; D: 08:00-23:00,43.137833,CASTRO DE RIBEIRAS DE LEA,-7.492611,I,Castro de Rei,,,,1.089,0.811,1.189,,LUGO,P
16,27260,105.05448317747715,1598870294000,L: 24H,43.139556,CASTRO DE RIBEIRAS DE LEA,-7.509556,D,Castro de Rei,,,,0.95,,1.07,,LUGO,P
17,27250,113.51993733783408,1598870294000,L-D: 24H,43.207806,CASTRO DE REI,-7.409194,I,Castro de Rei,,,,0.959,0.835,1.079,,LUGO,P
18,27120,92.84351747624216,1598870294000,L-S: 09:00-21:00; D: 10:00-20:00,43.009028,CASTROVERDE,-7.344417,N,Castroverde,,,,0.988,,1.115,,LUGO,P
19,27891,164.9265863209193,1598870294000,L-S: 07:00-22:30; D: 09:00-22:00,43.674861,CERVO,-7.421278,D,Cervo,,,,1.089,,1.189,,LUGO,P
20,27500,47.099442440766715,1598870294000,L-D: 07:00-23:00,42.604167,CHANTADA,-7.770333,I,Chantada,,,,1.089,0.779,1.209,,LUGO,P
21,27500,47.896113930588,1598870294000,L-D: 07:00-23:00,42.612528,CHANTADA,-7.766,D,Chantada,,,,1.089,0.768,1.209,,LUGO,P
22,27518,49.31808546396896,1598870294000,L-D: 07:00-00:00,42.62125,SOBREIRA,-7.787361,D,Chantada,,,,0.979,0.489,1.089,,LUGO,P
23,27163,86.2936792273298,1598870294000,L-D: 24H,42.965306,CORGO (O),-7.457528,I,Corgo (O),,,,1.119,,1.219,,LUGO,P
24,27163,86.33920682603093,1598870294000,L-D: 24H,42.965417,CORGO (O),-7.454778,D,Corgo (O),,,,1.119,,1.219,,LUGO,P
25,27163,79.24899599407046,1598870294000,L-D: 07:00-22:00,42.901972,CORGO (O),-7.46475,I,Corgo (O),,,,1.039,0.834,1.129,,LUGO,P
26,27164,84.50072409915428,1598870294000,L-D: 24H,42.940306,GOMEAN,-7.393611,D,Corgo (O),,,,1.119,,1.229,,LUGO,P
27,27377,118.29631780133653,1598870294000,L-D: 07:00-23:00,43.253583,MUIMENTA,-7.432972,I,Cospeito,,,,1.129,0.819,1.209,,LUGO,P
28,27112,119.33251557390993,1598870294000,L-D: 07:30-23:00,43.268092,COSPEITO,-7.503041,I,Cospeito,,,,1.119,0.809,1.229,,LUGO,P
29,27112,115.58761265079794,1598870294000,L-D: 08:00-23:00,43.2365,COSPEITO,-7.554111,I,Cospeito,,,,1.119,0.809,1.229,,LUGO,P
30,27100,111.91671348063514,1598870294000,L-S: 07:00-23:00; D: 08:00-23:00,43.121639,FONSAGRADA (A),-7.069833,D,Fonsagrada (A),,,,1.119,0.839,1.229,,LUGO,P
31,27780,155.77562162436752,1598870294000,L-D: 07:00-23:00,43.576306,FOZ,-7.269056,D,Foz,,,,1.129,,1.229,,LUGO,P
32,27780,155.4201896458828,1598870294000,L-D: 07:00-23:00,43.571833,FOZ,-7.260111,D,Foz,,,,1.119,,1.219,,LUGO,P
33,27220,93.63201332336772,1598870294000,L-D: 07:00-23:00,43.029722,FRIOL,-7.78675,I,Friol,,,,1.089,0.785,1.209,,LUGO,P
34,27300,111.3191134642233,1598870294000,L-D: 07:00-23:00,43.179167,GUITIRIZ,-7.879917,D,Guitiriz,,,,1.109,0.833,1.219,,LUGO,P
35,27300,119.80153255488293,1598870294000,L-S: 11:00-15:00 y 17:30-21:30,43.260778,GUITIRIZ,-7.850583,D,Guitiriz,,,,1.119,0.832,1.209,,LUGO,P
36,27300,113.17912219438753,1598870294000,L-D: 24H,43.188222,GUITIRIZ,-7.929917,I,Guitiriz,,,,1.119,,1.199,,LUGO,P
37,27300,113.17912219438753,1598870294000,L-D: 24H,43.188222,GUITIRIZ,-7.929917,D,Guitiriz,,,,1.119,,1.199,,LUGO,P
38,27300,112.75884216187875,1598870294000,L-D: 07:00-23:00,43.184861,GUITIRIZ,-7.926889,D,Guitiriz,,,,1.129,,1.229,,LUGO,P
39,27211,76.95608310879732,1598870294000,L-D: 07:00-23:00,42.886444,GUNTIN DE PALLARES,-7.701028,I,Guntín,,,,1.119,0.839,1.179,,LUGO,P
40,27210,79.8476134216608,1598870294000,L: 07:00-23:00,42.914667,VEIGA (A),-7.662222,I,Guntín,,,,1.089,0.739,1.148,,LUGO,P
41,27760,146.13476887732105,1598870294000,L-D: 07:00-23:00,43.490083,LOURENZA (CASCO URBANO),-7.284139,D,Lourenzá,,,,1.094,0.749,1.194,,LUGO,P
42,27169,88.14806324616488,1598870294000,L-D: 24H,42.988389,TOLDA (LA),-7.535639,I,Lugo,,,,1.119,,1.229,,LUGO,P
43,27297,88.88534308476457,1598870294000,L-D: 24H,42.996806,LOUZANETA,-7.587389,D,Lugo,,,,1.119,,1.229,,LUGO,P
44,27297,88.94423050331245,1598870294000,L-D: 24H,42.997333,LOUZANETA,-7.587194,I,Lugo,,,,1.049,,1.189,,LUGO,P
45,27298,93.1287108281416,1598870294000,L-D: 07:00-23:00,43.034759,LUGO,-7.574624,D,Lugo,,,,1.069,,1.179,,LUGO,P
46,27298,93.12123335360286,1598870294000,L-V: 07:00-22:00; S: 09:00-14:00,43.034694,LUGO,-7.574722,I,Lugo,,,,1.119,,1.219,,LUGO,P
47,27295,90.93438861005852,1598870294000,L-D: 07:00-23:00,43.012861,CASTELO,-7.523389,D,Lugo,,,,1.119,0.839,1.229,,LUGO,P
48,27165,81.65254660154037,1598870294000,L-D: 07:00-23:00,42.931694,PICATO (EL),-7.63475,I,Lugo,,,,1.089,0.835,1.189,,LUGO,P
49,27002,89.64729002287328,1598870294000,L-D: 07:00-23:00,43.002583,LUGO,-7.549944,D,Lugo,,,,1.119,,1.229,,LUGO,P
50,27002,89.9089755633454,1598870294000,L-D: 07:00-23:00,43.005694,LUGO,-7.572028,N,Lugo,,,,1.099,,1.219,,LUGO,P
51,27002,89.77007304369441,1598870294000,L-D: 24H,43.004472,LUGO,-7.573139,N,Lugo,,,,1.089,,1.209,,LUGO,P
52,27004,90.63443418526467,1598870294000,L-D: 07:00-23:00,43.011611,LUGO,-7.553139,D,Lugo,,,,1.109,,1.229,,LUGO,P
53,27003,92.14127102468626,1598870294000,L-D: 06:00-00:00,43.025667,LUGO,-7.567167,D,Lugo,,,,1.119,,1.229,,LUGO,P
54,27003,94.93688312784185,1598870294000,L-D: 24H,43.050806,LUGO,-7.565611,D,Lugo,,,,1.119,,1.229,,LUGO,P
55,27003,93.64642522859961,1598870294000,L-D: 07:00-23:00,43.039389,LUGO,-7.573278,D,Lugo,,,,1.119,,1.229,,LUGO,P
56,27003,95.1516780800169,1598870294000,L-D: 24H,43.052694,LUGO,-7.564028,D,Lugo,,,,1.119,,1.229,,LUGO,P
57,27003,93.3601524948016,1598870294000,L-S: 08:00-22:15,43.036667,LUGO,-7.567861,N,Lugo,,,,1.019,,1.129,,LUGO,P
58,27003,94.31044458974182,1598870294000,L-D: 24H,43.045111,LUGO,-7.563889,D,Lugo,,,,1.019,,1.129,,LUGO,P
59,27290,94.36170838192368,1598870294000,L-V: 07:00-21:00; S: 09:00-14:00,43.045472,LUGO,-7.560694,D,Lugo,,,,1.079,,1.198,,LUGO,P
60,27294,86.80826224023066,1598870294000,L: 07:00-23:00,42.977444,PIUGOS DE PENA,-7.56175,D,Lugo,,,,1.119,,1.209,,LUGO,P
61,27160,86.22604166360848,1598870294000,L-D: 07:00-23:00,42.968472,NADELA,-7.497306,I,Lugo,,,,1.129,,1.229,,LUGO,P
62,27290,94.20624940552854,1598870294000,L-D: 07:00-23:00,43.044333,CEAO (O),-7.569472,D,Lugo,,,,1.119,,1.229,,LUGO,P
63,27192,93.35847621771022,1598870294000,L-D: 07:00-23:00,43.035139,MUXA DE ABAIXO,-7.530472,I,Lugo,,,,1.119,,1.219,,LUGO,P
64,27192,93.65126458208344,1598870294000,L-D: 24H,43.037639,MUXA DE ARRIBA,-7.527806,D,Lugo,,,,1.119,,1.229,,LUGO,P
65,27240,115.86013190737015,1598870294000,L-D: 07:00-23:00,43.215694,MEIRA,-7.309028,D,Meira,,,,1.119,0.809,1.229,,LUGO,P
66,27740,138.8589277642778,1598870294000,L-D: 07:00-23:00,43.43325,MONDOÑEDO,-7.361861,I,Mondoñedo,,,,1.129,,1.219,,LUGO,P
67,27400,36.772115802774294,1598870294000,L-D: 07:00-00:00,42.51975,MONFORTE DE LEMOS,-7.513056,D,Monforte de Lemos,,,,1.119,,1.219,,LUGO,P
68,27400,37.87832906201061,1598870294000,L-D: 07:00-23:00,42.529,MONFORTE DE LEMOS,-7.507361,D,Monforte de Lemos,,,,1.119,,1.219,,LUGO,P
69,27400,36.86059002238367,1598870294000,L: 07:00-23:00,42.517667,MONFORTE DE LEMOS,-7.497083,I,Monforte de Lemos,,,,1.119,0.754,1.224,,LUGO,P
70,27400,36.68355409889147,1598870294000,L-D: 07:00-23:00,42.517556,MONFORTE DE LEMOS,-7.505194,N,Monforte de Lemos,,,,1.089,,1.179,,LUGO,P
71,27400,37.22104791479808,1598870294000,L-D: 24H,42.526056,MONFORTE DE LEMOS,-7.527194,I,Monforte de Lemos,,,,1.079,0.77,1.199,,LUGO,P
72,27400,33.503755838054964,1598870294000,L-D: 07:00-23:00,42.492778,MONFORTE DE LEMOS,-7.532833,I,Monforte de Lemos,,,,1.119,,1.219,,LUGO,P
73,27400,37.20862921549186,1598870294000,L-D: 24H,42.5255,MONFORTE DE LEMOS,-7.524111,D,Monforte de Lemos,,,,0.957,,1.057,,LUGO,P
74,27677,79.07070796091521,1598870294000,L-D: 08:30-21:00,42.804194,NOGAIS (AS),-7.109722,N,Nogais (As),,,,1.129,0.799,1.229,,LUGO,P
75,27150,98.60969366402173,1598870294000,L-D: 24H,43.084528,OUTEIRO DE REI,-7.606361,I,Outeiro de Rei,,,,1.059,,1.139,,LUGO,P
76,27150,98.57583827353233,1598870294000,L-V: 07:00-20:00; S-D: 07:00-14:00,43.084222,OUTEIRO DE REI,-7.605972,D,Outeiro de Rei,,,,1.109,,1.209,,LUGO,P
77,27150,101.12204586884849,1598870294000,L-D: 24H,43.107139,OUTEIRO DE REI,-7.60525,N,Outeiro de Rei,,,,1.119,,1.229,,LUGO,P
78,27200,78.22130190231329,1598870294000,L-D: 06:00-00:00,42.876194,PALAS DE REI,-7.861972,D,Palas de Rei,,,,1.089,0.834,1.179,,LUGO,P
79,27430,34.24182552962805,1598870294000,L-D: 08:00-22:00,42.504861,FERREIRA DE PANTON (CASCO URBANO),-7.628056,I,Pantón,,,,1.129,,1.239,,LUGO,P
80,27611,62.89025053209827,1598870294000,L-D: 08:00-23:00,42.761889,PARADELA,-7.563444,I,Paradela,,,,1.109,0.759,1.209,,LUGO,P
81,27287,124.24016781690977,1598870294000,L-D: 07:00-23:00,43.296722,PASTORIZA,-7.336389,D,Pastoriza (A),,,,1.119,0.809,1.229,,LUGO,P
82,27246,122.1176080370616,1598870294000,L-D: 24H,43.285417,REGUEIRA (A),-7.403639,D,Pastoriza (A),,,,1.019,0.8,1.119,,LUGO,P
83,27670,76.21593424008985,1598870294000,L-D: 07:00-23:00,42.726556,PEDRAFITA DO CEBREIRO,-7.022444,D,Pedrafita do Cebreiro,,,,1.129,0.833,1.229,,LUGO,P
84,27330,40.75642998230461,1598870294000,L-D: 07:00-23:00,42.527806,POBRA DO BROLLON (A),-7.397833,D,Pobra do Brollón (A),,,,1.099,0.76,1.219,,LUGO,P
